EIC,Company,Display Name,Source URL,Registry Download URL
23X--140911-MCM1,MCM COMMODITIES,MCM_COMMODITIES,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
23X--150409-DHP5,Devoll Hydropower Sh.A.,DEVOLL_HP,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
23X--150624-NET3,Nova Energy Trading ApS,NOVA_ENERGY,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
23X--150630-NE-6,Noa Energy Trade ltd,NOA_ENERGY_TRADE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
23X--151118-TP-K,TRAFIGURA PTE LTD,TRAFIGURA_PTE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
23X--160809-FE-G,FUTURE ENERGY TRADING SHPK,FUTURE_ENERGY_XK,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
23X--161129-ME-L,MFT Energy A/S,MFT_ENERGY,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
23X--201125-DC-P,Danske Commodities Kosovo SH.P.K.,DANSKE_KOSOVO,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
23X--250908--B-C,BE Power SHPK,BE_POWER_XK,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
24X-IND-NEGO-D-3,"Industria Negotiatione Domus, s.r.o.",IND-NEGO-DOM-SK,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
